,player_id,year_,game_id,team_id,league_id,gp,starting_pos
96,rowesc01,1935,ALS193507080,DET,AL,0.0,0.0
97,westsa01,1935,ALS193507080,SLA,AL,0.0,0.0
98,walkebi01,1935,ALS193507080,SLN,NL,1.0,1.0
99,wilsoji01,1935,ALS193507080,PHI,NL,1.0,2.0
100,terrybi01,1935,ALS193507080,NY1,NL,1.0,3.0
101,hermabi01,1935,ALS193507080,CHN,NL,1.0,4.0
102,martipe01,1935,ALS193507080,SLN,NL,1.0,5.0
103,vaughar01,1935,ALS193507080,PIT,NL,1.0,6.0
104,medwijo01,1935,ALS193507080,SLN,NL,1.0,7.0
105,bergewa01,1935,ALS193507080,BSN,NL,1.0,8.0
106,ottme01,1935,ALS193507080,NY1,NL,1.0,9.0
107,colliri02,1935,ALS193507080,SLN,NL,1.0,0.0
108,deandi01,1935,ALS193507080,SLN,NL,1.0,0.0
109,derripa01,1935,ALS193507080,CIN,NL,1.0,0.0
110,friscfr01,1935,ALS193507080,SLN,NL,0.0,0.0
111,hartnga01,1935,ALS193507080,CHN,NL,1.0,0.0
112,hubbeca01,1935,ALS193507080,NY1,NL,0.0,0.0
113,mancugu01,1935,ALS193507080,NY1,NL,1.0,0.0
114,moorejo02,1935,ALS193507080,NY1,NL,1.0,0.0
115,schumha02,1935,ALS193507080,NY1,NL,1.0,0.0
116,wanerpa01,1935,ALS193507080,PIT,NL,1.0,0.0
117,whitebu01,1935,ALS193507080,SLN,NL,1.0,0.0
118,grovele01,1936,NLS193607070,BOS,AL,1.0,1.0
119,ferreri01,1936,NLS193607070,BOS,AL,1.0,2.0
120,gehrilo01,1936,NLS193607070,NYA,AL,1.0,3.0
121,gehrich01,1936,NLS193607070,DET,AL,1.0,4.0
122,higgipi01,1936,NLS193607070,PHA,AL,1.0,5.0
123,applilu01,1936,NLS193607070,CHA,AL,1.0,6.0
124,radclri01,1936,NLS193607070,CHA,AL,1.0,7.0
125,averiea01,1936,NLS193607070,CLE,AL,1.0,8.0
126,dimagjo01,1936,NLS193607070,NYA,AL,1.0,9.0
127,bridgto01,1936,NLS193607070,DET,AL,0.0,0.0
128,chapmbe01,1936,NLS193607070,WS1,AL,1.0,0.0
129,crosefr01,1936,NLS193607070,NYA,AL,1.0,0.0
130,dickebi01,1936,NLS193607070,NYA,AL,1.0,0.0
131,foxxji01,1936,NLS193607070,BOS,AL,1.0,0.0
132,gomezle01,1936,NLS193607070,NYA,AL,0.0,0.0
133,gosligo01,1936,NLS193607070,DET,AL,1.0,0.0
134,hardeme01,1936,NLS193607070,CLE,AL,1.0,0.0
135,hemslro01,1936,NLS193607070,SLA,AL,0.0,0.0
136,kenneve01,1936,NLS193607070,CHA,AL,0.0,0.0
137,pearsmo01,1936,NLS193607070,NYA,AL,0.0,0.0
138,rowesc01,1936,NLS193607070,DET,AL,1.0,0.0
139,selkige01,1936,NLS193607070,NYA,AL,1.0,0.0
140,deandi01,1936,NLS193607070,SLN,NL,1.0,1.0
141,hartnga01,1936,NLS193607070,CHN,NL,1.0,2.0
142,colliri02,1936,NLS193607070,SLN,NL,1.0,3.0
143,hermabi01,1936,NLS193607070,CHN,NL,1.0,4.0
144,whitnpi01,1936,NLS193607070,PHI,NL,1.0,5.0
145,durocle01,1936,NLS193607070,SLN,NL,1.0,6.0
146,medwijo01,1936,NLS193607070,SLN,NL,1.0,7.0
147,galanau01,1936,NLS193607070,CHN,NL,1.0,8.0
148,demarfr02,1936,NLS193607070,CHN,NL,1.0,9.0
149,bergewa01,1936,NLS193607070,BSN,NL,0.0,0.0
150,daviscu01,1936,NLS193607070,CHN,NL,1.0,0.0
151,hubbeca01,1936,NLS193607070,NY1,NL,1.0,0.0
152,lombaer01,1936,NLS193607070,CIN,NL,0.0,0.0
153,martist01,1936,NLS193607070,SLN,NL,0.0,0.0
154,moorejo02,1936,NLS193607070,NY1,NL,0.0,0.0
155,mungova01,1936,NLS193607070,BRO,NL,0.0,0.0
156,ottme01,1936,NLS193607070,NY1,NL,1.0,0.0
157,riggsle01,1936,NLS193607070,CIN,NL,1.0,0.0
158,suhrgu01,1936,NLS193607070,PIT,NL,0.0,0.0
159,vaughar01,1936,NLS193607070,PIT,NL,0.0,0.0
160,warnelo01,1936,NLS193607070,CHN,NL,1.0,0.0
161,gomezle01,1937,ALS193707070,NYA,AL,1.0,1.0
162,dickebi01,1937,ALS193707070,NYA,AL,1.0,2.0
163,gehrilo01,1937,ALS193707070,NYA,AL,1.0,3.0
164,gehrich01,1937,ALS193707070,DET,AL,1.0,4.0
165,rolfere01,1937,ALS193707070,NYA,AL,1.0,5.0
166,cronijo01,1937,ALS193707070,BOS,AL,1.0,6.0
167,westsa01,1937,ALS193707070,SLA,AL,1.0,7.0
168,averiea01,1937,ALS193707070,CLE,AL,1.0,8.0
169,dimagjo01,1937,ALS193707070,NYA,AL,1.0,9.0
170,bellbe01,1937,ALS193707070,SLA,AL,0.0,0.0
171,bridgto01,1937,ALS193707070,DET,AL,1.0,0.0
172,cliftha01,1937,ALS193707070,SLA,AL,0.0,0.0
173,cramedo01,1937,ALS193707070,BOS,AL,0.0,0.0
174,ferreri01,1937,ALS193707070,WS1,AL,0.0,0.0
175,ferrewe01,1937,ALS193707070,WS1,AL,0.0,0.0
176,foxxji01,1937,ALS193707070,BOS,AL,1.0,0.0
177,greenha01,1937,ALS193707070,DET,AL,0.0,0.0
178,grovele01,1937,ALS193707070,BOS,AL,0.0,0.0
179,hardeme01,1937,ALS193707070,CLE,AL,1.0,0.0
180,moseswa01,1937,ALS193707070,PHA,AL,0.0,0.0
181,murphjo04,1937,ALS193707070,NYA,AL,0.0,0.0
182,myerbu01,1937,ALS193707070,WS1,AL,0.0,0.0
183,sewellu01,1937,ALS193707070,CHA,AL,0.0,0.0
184,stratmo01,1937,ALS193707070,CHA,AL,0.0,0.0
185,walkege02,1937,ALS193707070,DET,AL,0.0,0.0
186,deandi01,1937,ALS193707070,SLN,NL,1.0,1.0
187,hartnga01,1937,ALS193707070,CHN,NL,1.0,2.0
